Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-19,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-19,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-19,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-19,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-19,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-19,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-19,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-19,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-19,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-19,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-19,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-19,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-19,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-19,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-19,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-19,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-20,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-20,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-20,1879.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-20,13518.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-20,8697.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-20,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-20,4534.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-20,6.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-20,2074.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-20,4806.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-20,3952.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-20,208.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-20,2526.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-20,452.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-20,5636.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-20,3586.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-20,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-20,3792.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-20,3334.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-20,452.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-20,2.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-20,2.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-20,6.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-20,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-20,0.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-20,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-20,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-20,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-20,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-20,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-20,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-20,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-20,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-20,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-20,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-20,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-20,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-20,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-20,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-20,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-20,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-20,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-20,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-20,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-20,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-20,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-20,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-20,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-20,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-20,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-20,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-20,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-20,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-20,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-20,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-20,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-20,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-20,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-20,1.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-21,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-21,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-21,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-21,4806.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-21,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-21,4549.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-21,3952.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-21,3586.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-21,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-21,10666.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-21,13533.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-21,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-21,3795.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-21,2074.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-21,8697.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-21,208.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-21,3334.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-21,452.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-21,9.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-21,2526.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-21,6.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-21,2.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-21,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-21,2.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-21,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-21,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-21,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-21,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-21,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-21,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-21,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-21,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-21,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-21,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-21,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-21,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-21,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-21,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-21,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-21,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-21,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-21,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-21,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-21,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-21,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-21,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-21,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-21,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-21,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-21,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-21,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-21,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-21,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-21,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-21,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-21,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-21,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-21,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-21,1.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-24,452.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-24,4.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-24,2527.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-24,2075.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-24,3790.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-24,3151.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-24,8697.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-24,3334.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-24,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-24,10666.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-24,1879.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-24,13538.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-24,287.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-24,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-24,4806.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-24,4554.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-24,3952.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-24,3586.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-24,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-24,158.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-24,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-24,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-24,2.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-24,2.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-24,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-24,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-24,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-24,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-24,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-24,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-24,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-24,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-24,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-24,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-24,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-24,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-24,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-24,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-24,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-24,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-24,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-24,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-24,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-24,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-24,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-24,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-24,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-24,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-24,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-24,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-24,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-24,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-24,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-24,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-24,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-24,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-24,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-24,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-24,1.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-25,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-25,158.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-25,3335.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-25,5.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-25,1879.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-25,4806.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-25,287.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-25,3952.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-25,2527.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-25,2075.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-25,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-25,10666.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-25,13541.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-25,3792.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-25,452.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-25,3151.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-25,5636.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-25,8697.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-25,4557.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-25,3586.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-25,6.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-25,6.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-25,2.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-25,2.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-25,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-25,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-25,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-25,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-25,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-25,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-25,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-25,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-25,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-25,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-25,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-25,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-25,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-25,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-25,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-25,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-25,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-25,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-25,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-25,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-25,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-25,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-25,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-25,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-25,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-25,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-25,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-25,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-25,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-25,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-25,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-25,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-25,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-25,1.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-26,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-26,5636.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-26,10666.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-26,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-26,3952.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-26,3335.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-26,5.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-26,452.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-26,2527.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-26,8697.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-08-26,1.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-26,208.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-26,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-26,3792.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-26,2075.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-26,3151.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-26,287.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-26,3586.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-08-26,8.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-08-26,8.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-26,4806.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-26,4557.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-26,13541.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-08-26,1.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Liberia 2",2015-08-26,0.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-26,2.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-26,6.0
"Number of confirmed Ebola cases in the last 21 days","Liberia 2",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-26,2.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-26,6.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-26,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-26,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-26,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-26,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-26,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-26,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-26,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-26,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-26,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-26,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-26,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-26,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-26,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-26,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-26,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-26,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-26,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-26,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-26,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-26,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-26,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-26,4.0
